ID_NORMA,ID_ORDEN,NOMBRE,TIPO,ALCANCE,ESTADO,COD_ORGANO,ORGANO,COD_UD_ORGANICA,UD_ORGANICA,COD_PROCESO,PROCESO,DOC_APROBACION,NRO_DOC_APROBACION,FECHA_APROBACION,STD_APROBACION,DOC_DEROGACION,NRO_DOC_DEROGACION,FECHA_DEROGACION,STD_DEROGACION,LINK,EDITABLE
0001,or005,"Lineamiento para la formulación, aprobación, modificación y evaluación de los Planes Estratégicos Institucionales de las Empresas bajo el ámbito de FONAFE",Lineamiento Corporativo,Corporativo,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestión ,PLC,Área Corporativa de Planeamiento,E1.1.1,Gestión del Planeamiento Estratégico de las Empresas,RDE,RDE N° 108-2019/DE-FONAFE,19/12/19,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E1.1.1.LC1_or5.pdf,E1.1.1.LC1_or5.pdf
0002,or004,Lineamiento para la elaboración y aprobación del Convenio de Gestión Empresarial,Lineamiento Corporativo,Corporativo,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestión ,PLC,Área Corporativa de Planeamiento,E1.1.1,Gestión del Planeamiento Estratégico de las Empresas,AD,AD N° 002-2024/009-FONAFE,06/09/24,303502,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E1.1.1.LC-02_or04.pdf,E1.1.1.LC-02_or04.pdf
0003,or000,"Lineamiento para la formulación, aprobación, modificación y evaluación del Plan Estratégico Institucional del Banco de la Nación",Lineamiento,Corporativo,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestión ,PLC,Área Corporativa de Planeamiento,E1.1.1,Gestión del Planeamiento Estratégico de las Empresas,RDE,RDE N° 045-2022/DE-FONAFE,30/05/22,301398,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E1.1.1.LC3_or0.pdf,E1.1.1.LC3_or0.pdf
0004,or000,Modelo para el Alineamiento Estratégico y Operativo aplicable a FONAFE,Manual Interno,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PLC,Área Corporativa de Planeamiento,E1.1.1 ,Gestión del Planeamiento Estratégico de las Empresas,Acta,Acta N° 011/EOP/2023,01/08/23,302466,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E1.1.1.MI1_or0.pdf,E1.1.1.MI1_or0.pdf
0005,or005,Aprobación de la formulación o modificación del Plan Estratégico Institucional (PEI) de las Empresas bajo el ámbito de FONAFE,Procedimiento,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PLC,Área Corporativa de Planeamiento,E1.1.1,Gestión del Planeamiento Estratégico de las Empresas,Acta,Acta N° 045/EOP/2022,29/11/22,301830,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/0005_or005.pdf,0005_or005.pdf
0006,or002,Suscripción del Convenio de Gestión de las Empresas bajo el ámbito de FONAFE,Procedimiento,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PLC,Área Corporativa de Planeamiento,E1.1.1,Gestión del Planeamiento Estratégico de las Empresas,Acta,Acta N° 001/EOP/2023,04/01/23,301935,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/0006_or002.pdf,0006_or002.pdf
0007,or001,Seguimiento a los indicadores de gestión de las Empresas bajo el ámbito de FONAFE,Procedimiento,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PLC,Área Corporativa de Planeamiento,E1.1.1,Gestión del Planeamiento Estratégico de las Empresas,Acta,Acta N° 045/EOP/2022,29/11/22,301830,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/0007_or001.pdf,0007_or001.pdf
0008,or001,Seguimiento a los indicadores de gestión de FONAFE,Procedimiento,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PLC,Área Corporativa de Planeamiento,E1.1.1,Gestión del Planeamiento Estratégico de las Empresas,Acta,Acta N° 045/EOP/2022,29/11/22,301830,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/0008_or001.pdf,0008_or001.pdf
0009,or010,Atención de requerimientos sobre políticas y planes del Sector Economía y Finanzas,Procedimiento,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PLC,Área Corporativa de Planeamiento,E1.1.2,Atención y Seguimiento a requerimientos de Entidades del Estado,Otro,-,26/10/18,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/0009_or010.pdf,0009_or010.pdf
0010,or000,Cuadro de necesidades,Formato,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,-,-,E1.2.1,Gestión del Plan Operativo y Presupuestal de FONAFE,Otro,-,26/10/18,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/0010_or000.pdf,0010_or000.pdf
